age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
[24-25],Private,Bachelors,[9-13],Never-married,Exec-managerial,Own-child,White,Female,[35-60],United-States,<=50K
[25-25],Private,Some-college,[10-12],Never-married,Tech-support,Own-child,White,Female,[40-40],United-States,<=50K
[25-25],Private,Assoc-acdm,[10-12],Never-married,Exec-managerial,Own-child,White,Male,[40-40],United-States,<=50K
[25-25],Private,9th,[5-9],Never-married,Craft-repair,Unmarried,White,Male,[40-40],United-States,<=50K
[25-25],Private,HS-grad,[5-9],Never-married,Other-service,Not-in-family,Black,Female,[40-40],United-States,<=50K
[26-26],Local-gov,HS-grad,[9-9],Never-married,Other-service,Other-relative,White,Male,[16-70],United-States,<=50K
[26-26],Private,HS-grad,[9-9],Married-civ-spouse,Farming-fishing,Husband,White,Male,[16-70],United-States,<=50K
[26-26],Private,HS-grad,[9-13],Never-married,Craft-repair,Not-in-family,White,Male,[25-40],United-States,<=50K
[26-26],Private,HS-grad,[9-13],Never-married,Handlers-cleaners,Not-in-family,White,Male,[25-40],United-States,<=50K
[26-26],Private,Bachelors,[9-13],Never-married,Farming-fishing,Own-child,White,Male,[25-40],United-States,<=50K
[26-26],Private,Assoc-voc,[11-13],Never-married,Adm-clerical,Own-child,White,Female,[40-40],United-States,<=50K
[26-26],Private,Bachelors,[11-13],Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,[40-40],South,<=50K
[26-26],Private,10th,[6-11],Married-civ-spouse,Craft-repair,Own-child,Black,Male,[40-65],United-States,<=50K
[26-26],Private,HS-grad,[6-11],Never-married,Craft-repair,Own-child,White,Male,[40-65],United-States,<=50K
[26-26],Private,Assoc-voc,[6-11],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-65],United-States,>50K
[27-27],Private,HS-grad,[9-10],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[40-80],United-States,<=50K
[27-27],Private,Some-college,[9-10],Married-civ-spouse,Farming-fishing,Husband,White,Male,[40-80],United-States,<=50K
[28-28],Private,1st-4th,[2-9],Married-spouse-absent,Other-service,Own-child,Other,Female,[35-40],Dominican-Republic,<=50K
[28-28],Private,HS-grad,[2-9],Divorced,Machine-op-inspct,Own-child,White,Male,[35-40],United-States,<=50K
[28-28],Private,HS-grad,[2-9],Never-married,Adm-clerical,Not-in-family,White,Female,[35-40],United-States,<=50K
[28-28],Local-gov,HS-grad,[9-10],Married-civ-spouse,Protective-serv,Husband,White,Male,[40-43],United-States,<=50K
[28-28],Private,Some-college,[9-10],Never-married,Craft-repair,Not-in-family,White,Male,[40-43],Mexico,<=50K
[28-28],Private,HS-grad,[9-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-40],United-States,<=50K
[28-28],Federal-gov,Bachelors,[9-13],Never-married,Exec-managerial,Not-in-family,Black,Male,[40-40],United-States,<=50K
[28-29],Private,Bachelors,[4-13],Married-civ-spouse,Sales,Husband,White,Male,[50-55],United-States,>50K
[28-29],Private,7th-8th,[4-13],Divorced,Craft-repair,Unmarried,White,Female,[50-55],United-States,<=50K
[29-29],Self-emp-not-inc,HS-grad,[9-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-40],United-States,<=50K
[29-29],Private,HS-grad,[9-13],Divorced,Machine-op-inspct,Unmarried,White,Male,[40-40],United-States,<=50K
[29-29],Private,Bachelors,[9-13],Never-married,Adm-clerical,Own-child,White,Female,[40-40],Portugal,<=50K
[29-29],Local-gov,11th,[7-13],Divorced,Other-service,Unmarried,Black,Female,[20-40],United-States,<=50K
[29-29],Private,Bachelors,[7-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[20-40],United-States,>50K
[30-30],Private,HS-grad,[9-13],Never-married,Craft-repair,Own-child,White,Male,[40-60],United-States,<=50K
[30-30],Private,Bachelors,[9-13],Married-civ-spouse,Sales,Husband,White,Male,[40-60],United-States,>50K
[30-30],Private,HS-grad,[9-13],Married-civ-spouse,Protective-serv,Husband,White,Male,[40-60],United-States,>50K
[30-30],Federal-gov,Some-college,[10-11],Married-civ-spouse,Adm-clerical,Husband,White,Male,[48-52],Cuba,>50K
[30-30],Private,Assoc-voc,[10-11],Married-civ-spouse,Prof-specialty,Husband,White,Male,[48-52],United-States,>50K
[30-30],Self-emp-inc,Some-college,[9-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[36-50],United-States,>50K
[30-30],Private,Bachelors,[9-13],Never-married,Tech-support,Not-in-family,White,Female,[36-50],United-States,>50K
[30-30],Private,HS-grad,[9-13],Married-civ-spouse,Transport-moving,Husband,White,Male,[36-50],United-States,<=50K
[31-31],Private,Bachelors,[13-13],Married-civ-spouse,Prof-specialty,Wife,White,Female,[40-90],United-States,>50K
[31-31],Private,Bachelors,[13-13],Married-civ-spouse,Sales,Husband,Black,Male,[40-90],United-States,>50K
[31-31],Private,HS-grad,[9-13],Married-civ-spouse,Transport-moving,Husband,White,Male,[45-50],United-States,<=50K
[31-31],Local-gov,Bachelors,[9-13],Married-civ-spouse,Protective-serv,Husband,Black,Male,[45-50],United-States,>50K
[31-31],Private,HS-grad,[9-9],Divorced,Adm-clerical,Not-in-family,White,Female,[40-55],United-States,<=50K
[31-31],Private,HS-grad,[9-9],Divorced,Transport-moving,Not-in-family,White,Male,[40-55],United-States,<=50K
[31-32],Private,Some-college,[7-10],Divorced,Sales,Own-child,White,Male,[30-40],United-States,<=50K
[31-32],Private,11th,[7-10],Divorced,Other-service,Not-in-family,White,Female,[30-40],United-States,<=50K
[31-32],Private,HS-grad,[7-10],Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,[30-40],United-States,>50K
[32-32],Self-emp-not-inc,HS-grad,[9-13],Married-civ-spouse,Sales,Husband,White,Male,[40-43],United-States,<=50K
[32-32],Private,Bachelors,[9-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[40-43],United-States,>50K
[32-33],Private,Masters,[9-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[45-50],United-States,>50K
[32-33],Private,HS-grad,[9-14],Divorced,Craft-repair,Other-relative,Black,Female,[45-50],United-States,<=50K
[33-33],Private,7th-8th,[4-9],Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[40-40],United-States,<=50K
[33-33],Private,HS-grad,[4-9],Married-civ-spouse,Tech-support,Wife,White,Female,[40-40],United-States,>50K
[33-34],Private,Some-college,[9-10],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[40-50],United-States,>50K
[33-34],Private,Some-college,[9-10],Never-married,Other-service,Unmarried,White,Female,[40-50],United-States,<=50K
[33-34],Private,HS-grad,[9-10],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[40-50],United-States,>50K
[34-34],Local-gov,Bachelors,[13-13],Never-married,Other-service,Not-in-family,White,Male,[14-60],United-States,<=50K
[34-34],Private,Bachelors,[13-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[14-60],United-States,>50K
[34-35],Private,Some-college,[10-14],Never-married,Machine-op-inspct,Not-in-family,White,Male,[40-55],England,>50K
[34-35],Private,Masters,[10-14],Married-civ-spouse,Sales,Husband,White,Male,[40-55],United-States,>50K
[35-35],Private,Masters,[13-14],Married-civ-spouse,Sales,Husband,White,Male,[40-60],United-States,>50K
[35-35],Self-emp-inc,Bachelors,[13-14],Never-married,Exec-managerial,Not-in-family,White,Female,[40-60],United-States,>50K
[35-36],Local-gov,Some-college,[9-13],Divorced,Adm-clerical,Own-child,White,Female,[38-45],United-States,<=50K
[35-36],Private,Bachelors,[9-13],Married-spouse-absent,Craft-repair,Unmarried,White,Male,[38-45],United-States,<=50K
[35-36],Private,HS-grad,[9-13],Married-civ-spouse,Transport-moving,Husband,White,Male,[38-45],United-States,>50K
[36-36],Private,Masters,[13-14],Never-married,Adm-clerical,Not-in-family,White,Male,[50-55],United-States,>50K
[36-36],Self-emp-inc,Bachelors,[13-14],Never-married,Tech-support,Not-in-family,White,Male,[50-55],United-States,>50K
[36-36],Private,HS-grad,[9-11],Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,[40-60],South,<=50K
[36-36],Private,Assoc-voc,[9-11],Married-civ-spouse,Exec-managerial,Wife,White,Female,[40-60],United-States,>50K
[36-36],Self-emp-not-inc,Some-college,[9-11],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-60],United-States,>50K
[36-36],Private,HS-grad,[9-13],Divorced,Transport-moving,Not-in-family,White,Male,[50-50],United-States,<=50K
[36-36],Private,Bachelors,[9-13],Divorced,Prof-specialty,Not-in-family,White,Female,[50-50],United-States,<=50K
[36-37],State-gov,Bachelors,[10-13],Married-civ-spouse,Adm-clerical,Wife,White,Female,[20-42],United-States,>50K
[36-37],Private,Bachelors,[10-13],Never-married,Tech-support,Not-in-family,White,Female,[20-42],United-States,<=50K
[36-37],Federal-gov,Some-college,[10-13],Married-civ-spouse,Adm-clerical,Husband,White,Male,[20-42],United-States,>50K
[37-37],Private,Assoc-voc,[9-11],Married-civ-spouse,Craft-repair,Husband,White,Male,[44-51],United-States,>50K
[37-37],Private,HS-grad,[9-11],Married-civ-spouse,Craft-repair,Husband,White,Male,[44-51],United-States,<=50K
[37-37],Private,Bachelors,[13-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[39-55],United-States,>50K
[37-37],Private,Masters,[13-14],Married-civ-spouse,Exec-managerial,Husband,White,Male,[39-55],El-Salvador,>50K
[37-37],Private,Bachelors,[7-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-60],United-States,>50K
[37-37],Private,11th,[7-13],Never-married,Transport-moving,Not-in-family,White,Male,[40-60],United-States,>50K
[37-38],Private,HS-grad,[9-11],Never-married,Craft-repair,Unmarried,White,Male,[40-72],United-States,<=50K
[37-38],Private,Assoc-voc,[9-11],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-72],United-States,<=50K
[37-38],Private,HS-grad,[9-11],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-72],Mexico,<=50K
[38-38],Private,Assoc-voc,[11-14],Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[40-70],United-States,<=50K
[38-38],Self-emp-not-inc,Masters,[11-14],Married-civ-spouse,Farming-fishing,Husband,White,Male,[40-70],United-States,<=50K
[38-38],Private,HS-grad,[9-11],Never-married,Adm-clerical,Not-in-family,White,Female,[38-70],United-States,<=50K
[38-38],Private,Assoc-voc,[9-11],Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[38-70],United-States,>50K
[38-38],Private,HS-grad,[9-11],Married-civ-spouse,Exec-managerial,Husband,White,Male,[38-70],United-States,>50K
[38-38],Private,Bachelors,[13-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[40-45],United-States,>50K
[38-38],Private,Bachelors,[13-13],Married-civ-spouse,Tech-support,Husband,White,Male,[40-45],United-States,>50K
[38-38],Private,HS-grad,[9-16],Married-civ-spouse,Adm-clerical,Wife,White,Female,[36-50],United-States,>50K
[38-38],Private,HS-grad,[9-16],Married-civ-spouse,Exec-managerial,Husband,White,Male,[36-50],United-States,<=50K
[38-38],Local-gov,Doctorate,[9-16],Married-civ-spouse,Exec-managerial,Husband,White,Male,[36-50],United-States,>50K
[38-38],Local-gov,Masters,[14-14],Divorced,Prof-specialty,Not-in-family,Black,Male,[40-40],Jamaica,<=50K
[38-38],Self-emp-not-inc,Masters,[14-14],Never-married,Prof-specialty,Not-in-family,White,Male,[40-40],United-States,>50K
[39-39],State-gov,11th,[7-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-60],United-States,<=50K
[39-39],Private,Bachelors,[7-13],Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,[40-60],United-States,<=50K
[39-39],Private,Bachelors,[13-13],Married-civ-spouse,Handlers-cleaners,Wife,White,Female,[40-50],Poland,>50K
[39-39],Private,Bachelors,[13-13],Widowed,Prof-specialty,Unmarried,White,Female,[40-50],Poland,>50K
[39-39],Private,Some-college,[10-12],Married-civ-spouse,Sales,Husband,White,Male,[50-50],United-States,>50K
[39-39],Private,Some-college,[10-12],Married-civ-spouse,Farming-fishing,Husband,White,Male,[50-50],United-States,>50K
[39-39],Self-emp-inc,Assoc-acdm,[10-12],Married-civ-spouse,Exec-managerial,Husband,White,Male,[50-50],United-States,>50K
[39-40],Local-gov,Assoc-acdm,[12-13],Married-civ-spouse,Adm-clerical,Wife,White,Female,[20-55],United-States,>50K
[39-40],Private,Bachelors,[12-13],Married-civ-spouse,Sales,Husband,White,Male,[20-55],United-States,>50K
[40-40],Self-emp-not-inc,HS-grad,[9-10],Married-civ-spouse,Craft-repair,Husband,White,Male,[15-60],United-States,<=50K
[40-40],Private,Some-college,[9-10],Married-civ-spouse,Transport-moving,Husband,White,Male,[15-60],United-States,>50K
[40-40],Private,Some-college,[9-10],Separated,Exec-managerial,Unmarried,White,Female,[15-60],United-States,<=50K
[40-40],Private,Assoc-acdm,[12-13],Never-married,Tech-support,Not-in-family,Black,Male,[40-50],United-States,<=50K
[40-40],Private,Bachelors,[12-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[40-50],United-States,>50K
[40-41],Federal-gov,HS-grad,[9-15],Married-civ-spouse,Adm-clerical,Wife,White,Female,[20-40],United-States,>50K
[40-41],Private,HS-grad,[9-15],Married-civ-spouse,Exec-managerial,Husband,White,Male,[20-40],United-States,<=50K
[40-41],Private,Prof-school,[9-15],Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,[20-40],Philippines,<=50K
[41-41],Private,Assoc-voc,[11-13],Married-civ-spouse,Tech-support,Wife,White,Female,[38-40],United-States,>50K
[41-41],Private,Bachelors,[11-13],Never-married,Prof-specialty,Not-in-family,White,Male,[38-40],United-States,>50K
[41-41],Private,Bachelors,[13-13],Married-civ-spouse,Prof-specialty,Wife,Black,Female,[35-42],Haiti,>50K
[41-41],Private,Bachelors,[13-13],Married-civ-spouse,Tech-support,Husband,White,Male,[35-42],United-States,>50K
[42-42],Local-gov,Some-college,[10-16],Married-civ-spouse,Craft-repair,Husband,Black,Male,[40-40],United-States,<=50K
[42-42],Private,Doctorate,[10-16],Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,[40-40],Taiwan,>50K
[42-42],Private,Some-college,[10-13],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-58],United-States,>50K
[42-42],Self-emp-not-inc,Some-college,[10-13],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[40-58],United-States,>50K
[42-42],Private,Bachelors,[10-13],Married-civ-spouse,Transport-moving,Husband,White,Male,[40-58],United-States,<=50K
[42-42],Private,Masters,[14-14],Married-civ-spouse,Exec-managerial,Husband,White,Male,[40-60],United-States,>50K
[42-42],Self-emp-inc,Masters,[14-14],Married-civ-spouse,Farming-fishing,Husband,White,Male,[40-60],United-States,>50K
[42-42],Private,Bachelors,[10-13],Divorced,Adm-clerical,Unmarried,White,Male,[30-60],United-States,<=50K
[42-42],Private,Some-college,[10-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[30-60],United-States,>50K
[43-43],Local-gov,Masters,[13-14],Married-civ-spouse,Prof-specialty,Wife,Black,Female,[35-50],United-States,>50K
[43-43],Private,Bachelors,[13-14],Married-civ-spouse,Exec-managerial,Husband,White,Male,[35-50],United-States,>50K
[43-43],Private,10th,[6-9],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[40-60],United-States,<=50K
[43-43],State-gov,HS-grad,[6-9],Divorced,Exec-managerial,Unmarried,White,Female,[40-60],United-States,<=50K
[43-43],Self-emp-not-inc,12th,[6-9],Married-civ-spouse,Transport-moving,Husband,White,Male,[40-60],United-States,<=50K
[43-43],Private,Some-college,[9-10],Married-civ-spouse,Adm-clerical,Wife,Black,Female,[38-40],United-States,>50K
[43-43],Private,HS-grad,[9-10],Married-civ-spouse,Craft-repair,Husband,White,Male,[38-40],United-States,>50K
[43-43],Private,Some-college,[10-13],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[40-45],United-States,>50K
[43-43],Private,Bachelors,[10-13],Married-civ-spouse,Sales,Husband,White,Male,[40-45],United-States,>50K
[44-44],Local-gov,12th,[8-10],Married-civ-spouse,Craft-repair,Husband,White,Male,[55-58],United-States,<=50K
[44-44],Self-emp-inc,Some-college,[8-10],Married-civ-spouse,Craft-repair,Husband,White,Male,[55-58],United-States,>50K
[44-44],Private,Bachelors,[10-15],Married-civ-spouse,Exec-managerial,Husband,White,Male,[45-60],United-States,>50K
[44-44],Private,Prof-school,[10-15],Married-civ-spouse,Prof-specialty,Husband,White,Male,[45-60],United-States,>50K
[44-44],Self-emp-inc,Some-college,[10-15],Married-civ-spouse,Sales,Husband,White,Male,[45-60],United-States,>50K
[44-44],Self-emp-not-inc,HS-grad,[9-10],Married-civ-spouse,Sales,Wife,White,Female,[40-45],United-States,>50K
[44-44],Private,Some-college,[9-10],Separated,Exec-managerial,Not-in-family,White,Male,[40-45],United-States,>50K
[44-44],Private,Some-college,[9-10],Never-married,Craft-repair,Not-in-family,White,Male,[38-72],United-States,<=50K
[44-44],Private,HS-grad,[9-10],Married-civ-spouse,Transport-moving,Husband,White,Male,[38-72],United-States,<=50K
[44-44],Private,Some-college,[9-10],Married-civ-spouse,Transport-moving,Husband,White,Male,[38-72],United-States,>50K
[44-44],Private,7th-8th,[4-12],Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[40-40],United-States,<=50K
[44-44],Private,Assoc-acdm,[4-12],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-40],United-States,>50K
[44-44],Private,Masters,[9-14],Married-civ-spouse,Exec-managerial,Husband,White,Male,[35-40],United-States,>50K
[44-44],Private,HS-grad,[9-14],Never-married,Other-service,Unmarried,White,Male,[35-40],United-States,<=50K
[44-44],Local-gov,Assoc-voc,[9-14],Married-civ-spouse,Craft-repair,Husband,White,Male,[35-40],United-States,>50K
[45-45],Private,Some-college,[10-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-50],United-States,<=50K
[45-45],Private,Bachelors,[10-13],Divorced,Prof-specialty,Not-in-family,White,Male,[40-50],United-States,>50K
[45-45],Local-gov,Masters,[9-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[37-40],United-States,>50K
[45-45],Local-gov,HS-grad,[9-14],Married-civ-spouse,Craft-repair,Husband,White,Male,[37-40],United-States,>50K
[45-45],Private,11th,[7-15],Widowed,Other-service,Not-in-family,Black,Female,[20-43],United-States,<=50K
[45-45],Self-emp-inc,Prof-school,[7-15],Married-civ-spouse,Prof-specialty,Husband,White,Male,[20-43],United-States,>50K
[45-45],Private,12th,[8-14],Married-civ-spouse,Sales,Husband,White,Male,[40-55],United-States,>50K
[45-45],Private,Bachelors,[8-14],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-55],United-States,>50K
[45-45],Local-gov,Masters,[8-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-55],United-States,>50K
[45-45],Private,Some-college,[10-13],Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,[40-52],United-States,<=50K
[45-45],Private,Bachelors,[10-13],Married-civ-spouse,Sales,Husband,White,Male,[40-52],United-States,>50K
[45-46],Private,HS-grad,[9-16],Never-married,Sales,Not-in-family,White,Female,[20-50],United-States,<=50K
[45-46],Self-emp-not-inc,Prof-school,[9-16],Married-civ-spouse,Prof-specialty,Husband,White,Male,[20-50],United-States,>50K
[45-46],Private,Doctorate,[9-16],Married-civ-spouse,Prof-specialty,Husband,White,Male,[20-50],United-States,>50K
[46-46],Private,Bachelors,[13-13],Married-civ-spouse,Adm-clerical,Husband,White,Male,[40-45],United-States,>50K
[46-46],Private,Bachelors,[13-13],Divorced,Prof-specialty,Not-in-family,White,Male,[40-45],United-States,>50K
[46-46],Private,Some-college,[9-13],Married-civ-spouse,Sales,Husband,White,Male,[48-55],United-States,>50K
[46-46],Local-gov,Bachelors,[9-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[48-55],United-States,>50K
[46-46],Private,HS-grad,[9-13],Married-civ-spouse,Farming-fishing,Husband,White,Male,[48-55],United-States,<=50K
[46-47],Self-emp-not-inc,HS-grad,[9-12],Married-civ-spouse,Exec-managerial,Husband,White,Male,[50-56],United-States,>50K
[46-47],Private,Assoc-acdm,[9-12],Never-married,Tech-support,Not-in-family,White,Male,[50-56],United-States,<=50K
[47-47],Private,HS-grad,[4-9],Divorced,Other-service,Not-in-family,White,Female,[4-35],United-States,<=50K
[47-47],Private,7th-8th,[4-9],Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,[4-35],United-States,<=50K
[47-47],Local-gov,Some-college,[7-10],Divorced,Adm-clerical,Not-in-family,White,Female,[33-40],United-States,<=50K
[47-47],Private,11th,[7-10],Divorced,Handlers-cleaners,Not-in-family,White,Male,[33-40],United-States,<=50K
[47-47],Private,Assoc-acdm,[9-13],Married-civ-spouse,Prof-specialty,Wife,Black,Female,[40-70],United-States,>50K
[47-47],Private,HS-grad,[9-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-70],United-States,>50K
[47-47],Self-emp-inc,Bachelors,[9-13],Divorced,Exec-managerial,Not-in-family,White,Male,[40-70],United-States,>50K
[48-48],Self-emp-inc,Assoc-voc,[11-14],Married-civ-spouse,Exec-managerial,Husband,White,Male,[50-55],United-States,>50K
[48-48],Private,Masters,[11-14],Married-civ-spouse,Transport-moving,Husband,White,Male,[50-55],United-States,>50K
[48-48],Local-gov,Masters,[9-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-80],United-States,>50K
[48-48],Private,HS-grad,[9-14],Married-civ-spouse,Transport-moving,Husband,White,Male,[40-80],United-States,>50K
[48-48],Local-gov,Masters,[9-14],Divorced,Prof-specialty,Unmarried,White,Female,[40-80],United-States,<=50K
[48-48],State-gov,HS-grad,[9-15],Married-civ-spouse,Protective-serv,Husband,White,Male,[40-45],United-States,<=50K
[48-48],Private,Prof-school,[9-15],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-45],United-States,>50K
[48-48],Private,Some-college,[10-14],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[30-40],United-States,<=50K
[48-48],State-gov,Some-college,[10-14],Married-civ-spouse,Craft-repair,Husband,White,Male,[30-40],United-States,>50K
[48-48],State-gov,Masters,[10-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[30-40],United-States,>50K
[48-48],Private,HS-grad,[9-9],Divorced,Machine-op-inspct,Other-relative,Other,Female,[38-44],Ecuador,<=50K
[48-48],Private,HS-grad,[9-9],Married-civ-spouse,Craft-repair,Husband,White,Male,[38-44],United-States,>50K
[49-49],Private,HS-grad,[9-9],Married-civ-spouse,Craft-repair,Wife,White,Female,[40-40],United-States,>50K
[49-49],Private,HS-grad,[9-9],Divorced,Transport-moving,Not-in-family,White,Male,[40-40],United-States,<=50K
[49-49],Local-gov,Masters,[14-14],Never-married,Prof-specialty,Not-in-family,White,Female,[40-50],United-States,<=50K
[49-49],Private,Masters,[14-14],Married-civ-spouse,Sales,Husband,White,Male,[40-50],United-States,>50K
[49-49],Private,Some-college,[10-13],Married-civ-spouse,Adm-clerical,Wife,White,Female,[40-50],United-States,>50K
[49-49],State-gov,Bachelors,[10-13],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-50],United-States,>50K
[49-49],Private,Bachelors,[10-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[40-50],United-States,>50K
[49-50],Federal-gov,Some-college,[10-14],Married-civ-spouse,Exec-managerial,Husband,White,Male,[40-55],United-States,>50K
[49-50],Self-emp-not-inc,Masters,[10-14],Married-civ-spouse,Sales,Husband,White,Male,[40-55],United-States,>50K
